customer_id,order_date,product_name,product_category,quantity,unit_price,total_amount
C0091,2023-01-01,Running Shoes,Fashion,1,109.93,109.93
C0100,2023-01-01,Bluetooth Speaker,Electronics,1,56.64,56.64
C0157,2023-01-01,Self-Help Guide,Books,3,24.08,72.24
C0220,2023-01-01,Storage Bins,Home,1,17.97,17.97
C0273,2023-01-01,USB-C Cable,Electronics,1,8.85,8.85
C0306,2023-01-01,Sunglasses,Fashion,1,34.66,34.66
C0358,2023-01-01,Smartphone Case,Electronics,2,13.26,26.52
C0365,2023-01-01,Cookbook,Books,1,22.7,22.7
C0406,2023-01-01,Car Phone Mount,Electronics,2,18.97,37.94
C0436,2023-01-01,Self-Help Guide,Books,1,14.6,14.6
C0453,2023-01-01,Running Shoes,Fashion,2,60.33,120.66
C0460,2023-01-01,Power Bank,Electronics,2,22.28,44.56
C0525,2023-01-01,Kitchen Scale,Home,2,18.19,36.38
C0012,2023-01-02,Fiction Novel,Books,4,40.96,163.84
C0027,2023-01-02,Running Shoes,Fashion,1,221.65,221.65
C0066,2023-01-02,Air Purifier,Home,1,251.87,251.87
C0090,2023-01-02,Coffee Maker,Home,1,92.81,92.81
C0115,2023-01-02,Self-Help Guide,Books,2,25.38,50.76
C0195,2023-01-02,Air Purifier,Home,3,224.09,672.27
C0263,2023-01-02,Cookbook,Books,2,22.35,44.7
C0321,2023-01-02,Denim Jeans,Fashion,2,39.81,79.62
C0373,2023-01-02,Denim Jeans,Fashion,1,41.69,41.69
C0378,2023-01-02,Sunglasses,Fashion,1,33.67,33.67
C0495,2023-01-02,Vacuum Cleaner,Home,4,100.0,400.0
C0512,2023-01-02,Cookbook,Books,4,21.45,85.8
C0028,2023-01-03,Wireless Headphones,Electronics,2,209.97,419.94
C0034,2023-01-03,Running Shoes,Fashion,2,229.6,459.2
C0101,2023-01-03,Bluetooth Speaker,Electronics,1,51.53,51.53
C0112,2023-01-03,Car Phone Mount,Electronics,1,27.13,27.13
C0149,2023-01-03,Vacuum Cleaner,Home,1,162.3,162.3
C0187,2023-01-03,Business Strategy Book,Books,1,32.31,32.31
C0200,2023-01-03,Wireless Headphones,Electronics,1,98.56,98.56
C0242,2023-01-03,Bluetooth Speaker,Electronics,1,53.78,53.78
C0325,2023-01-03,Cookbook,Books,1,22.89,22.89
C0368,2023-01-03,Casual T-Shirt,Fashion,3,14.06,42.18
C0453,2023-01-03,Cookbook,Books,1,21.64,21.64
C0530,2023-01-03,Air Purifier,Home,4,150.73,602.92
C0544,2023-01-03,Kitchen Scale,Home,1,17.45,17.45
C0179,2023-01-04,Business Strategy Book,Books,1,32.84,32.84
C0195,2023-01-04,Baseball Cap,Fashion,1,27.81,27.81
C0225,2023-01-04,Car Phone Mount,Electronics,1,28.13,28.13
C0430,2023-01-04,Casual T-Shirt,Fashion,1,13.69,13.69
C0456,2023-01-04,Kitchen Scale,Home,3,19.9,59.7
C0480,2023-01-04,Coffee Maker,Home,1,55.05,55.05
C0038,2023-01-05,Fiction Novel,Books,2,34.24,68.48
C0062,2023-01-05,Vacuum Cleaner,Home,1,169.23,169.23
C0070,2023-01-05,Bluetooth Speaker,Electronics,1,58.96,58.96
C0108,2023-01-05,Power Bank,Electronics,3,42.35,127.05
C0120,2023-01-05,Fiction Novel,Books,2,17.03,34.06
C0198,2023-01-05,Kitchen Scale,Home,3,33.65,100.95
C0198,2023-01-05,Bluetooth Speaker,Electronics,2,51.3,102.6
C0200,2023-01-05,Sunglasses,Fashion,1,63.7,63.7
C0203,2023-01-05,Wireless Charger,Electronics,1,37.73,37.73
C0247,2023-01-05,Sunglasses,Fashion,1,56.99,56.99
C0337,2023-01-05,Coffee Maker,Home,1,54.29,54.29
C0342,2023-01-05,Wireless Charger,Electronics,1,20.47,20.47
C0344,2023-01-05,USB-C Cable,Electronics,2,9.97,19.94
C0378,2023-01-05,Running Shoes,Fashion,1,59.59,59.59
C0458,2023-01-05,Casual T-Shirt,Fashion,1,14.79,14.79
C0515,2023-01-05,Self-Help Guide,Books,1,15.23,15.23
C0042,2023-01-06,Wireless Charger,Electronics,1,74.45,74.45
C0056,2023-01-06,Smartphone Case,Electronics,2,22.44,44.88
C0216,2023-01-06,Coffee Maker,Home,1,98.83,98.83
C0325,2023-01-06,Kitchen Scale,Home,1,19.45,19.45
C0339,2023-01-06,Self-Help Guide,Books,1,14.0,14.0
C0389,2023-01-06,Fiction Novel,Books,1,11.48,11.48
C0418,2023-01-06,Storage Bins,Home,2,11.33,22.66
C0451,2023-01-06,USB-C Cable,Electronics,1,8.53,8.53
C0021,2023-01-07,Air Purifier,Home,1,457.51,457.51
C0055,2023-01-07,Wireless Charger,Electronics,3,39.31,117.93
C0195,2023-01-07,Screen Protector,Electronics,1,12.09,12.09
C0200,2023-01-07,Self-Help Guide,Books,1,25.9,25.9
C0252,2023-01-07,Denim Jeans,Fashion,1,44.65,44.65
C0267,2023-01-07,Self-Help Guide,Books,1,14.74,14.74
C0346,2023-01-07,Business Strategy Book,Books,2,16.56,33.12
C0373,2023-01-07,Kitchen Scale,Home,1,19.08,19.08
C0389,2023-01-07,Coffee Maker,Home,2,58.63,117.26
