customer_id,order_date,product_name,quantity,unit_price,total_amount
C0048,2023-01-01,Bluetooth Speaker,1,124.37,124.37
C0091,2023-01-01,Running Shoes,1,109.93,109.93
C0100,2023-01-01,Bluetooth Speaker,1,56.64,56.64
C0157,2023-01-01,Self-Help Guide,3,24.08,72.24
C0171,2023-01-01,Denim Jeans,2,69.11,138.22
C0220,2023-01-01,Storage Bins,1,17.97,17.97
C0230,2023-01-01,Air Purifier,1,241.0,241.0
C0269,2023-01-01,LED Desk Lamp,2,26.25,52.5
C0273,2023-01-01,USB-C Cable,1,8.85,8.85
C0299,2023-01-01,Business Strategy Book,1,18.41,18.41
C0306,2023-01-01,Sunglasses,1,34.66,34.66
C0342,2023-01-01,Sunglasses,2,35.09,70.18
C0358,2023-01-01,Smartphone Case,2,13.26,26.52
C0365,2023-01-01,Cookbook,1,22.7,22.7
C0382,2023-01-01,Vacuum Cleaner,2,101.62,203.24
C0406,2023-01-01,Car Phone Mount,2,18.97,37.94
C0421,2023-01-01,Casual T-Shirt,3,14.14,42.42
C0434,2023-01-01,Wireless Charger,2,22.25,44.5
C0436,2023-01-01,Self-Help Guide,1,14.6,14.6
C0453,2023-01-01,Running Shoes,2,60.33,120.66
C0460,2023-01-01,Power Bank,2,22.28,44.56
C0504,2023-01-01,Fiction Novel,2,10.54,21.08
C0525,2023-01-01,Kitchen Scale,2,18.19,36.38
C0012,2023-01-02,Fiction Novel,4,40.96,163.84
C0027,2023-01-02,Running Shoes,1,221.65,221.65
C0031,2023-01-02,Wireless Headphones,2,231.41,462.82
C0066,2023-01-02,Air Purifier,1,251.87,251.87
C0090,2023-01-02,Coffee Maker,1,92.81,92.81
C0096,2023-01-02,LED Desk Lamp,2,44.02,88.04
C0115,2023-01-02,Self-Help Guide,2,25.38,50.76
C0169,2023-01-02,Fiction Novel,4,16.78,67.12
C0191,2023-01-02,Smartphone Case,1,21.84,21.84
C0195,2023-01-02,Air Purifier,3,224.09,672.27
C0205,2023-01-02,Coffee Maker,4,104.99,419.96
C0263,2023-01-02,Cookbook,2,22.35,44.7
C0285,2023-01-02,Business Strategy Book,1,19.01,19.01
C0288,2023-01-02,Cookbook,1,20.9,20.9
C0297,2023-01-02,Fiction Novel,2,10.79,21.58
C0310,2023-01-02,Casual T-Shirt,1,12.66,12.66
C0321,2023-01-02,Denim Jeans,2,39.81,79.62
C0348,2023-01-02,Car Phone Mount,1,17.05,17.05
C0352,2023-01-02,Self-Help Guide,1,14.8,14.8
C0373,2023-01-02,Denim Jeans,1,41.69,41.69
C0378,2023-01-02,Sunglasses,1,33.67,33.67
C0395,2023-01-02,Fiction Novel,1,10.44,10.44
C0468,2023-01-02,Car Phone Mount,4,18.25,73.0
C0495,2023-01-02,Vacuum Cleaner,4,100.0,400.0
C0512,2023-01-02,Cookbook,4,21.45,85.8
C0550,2023-01-02,USB-C Cable,4,8.57,34.28
C0028,2023-01-03,Wireless Headphones,2,209.97,419.94
C0034,2023-01-03,Running Shoes,2,229.6,459.2
C0096,2023-01-03,Sunglasses,2,65.24,130.48
C0101,2023-01-03,Bluetooth Speaker,1,51.53,51.53
C0112,2023-01-03,Car Phone Mount,1,27.13,27.13
