customer_id,order_date,product_name,quantity,unit_price,total_amount
C0157,2023-01-01,Self-Help Guide,3,24.08,72.24
C0220,2023-01-01,Storage Bins,1,17.97,17.97
C0306,2023-01-01,Sunglasses,1,34.66,34.66
C0358,2023-01-01,Smartphone Case,2,13.26,26.52
C0365,2023-01-01,Cookbook,1,22.7,22.7
C0453,2023-01-01,Running Shoes,2,60.33,120.66
C0460,2023-01-01,Power Bank,2,22.28,44.56
C0012,2023-01-02,Fiction Novel,4,40.96,163.84
C0027,2023-01-02,Running Shoes,1,221.65,221.65
C0066,2023-01-02,Air Purifier,1,251.87,251.87
C0090,2023-01-02,Coffee Maker,1,92.81,92.81
C0115,2023-01-02,Self-Help Guide,2,25.38,50.76
C0195,2023-01-02,Air Purifier,3,224.09,672.27
C0263,2023-01-02,Cookbook,2,22.35,44.7
C0378,2023-01-02,Sunglasses,1,33.67,33.67
C0028,2023-01-03,Wireless Headphones,2,209.97,419.94
C0034,2023-01-03,Running Shoes,2,229.6,459.2
C0149,2023-01-03,Vacuum Cleaner,1,162.3,162.3
C0187,2023-01-03,Business Strategy Book,1,32.31,32.31
C0242,2023-01-03,Bluetooth Speaker,1,53.78,53.78
C0325,2023-01-03,Cookbook,1,22.89,22.89
C0368,2023-01-03,Casual T-Shirt,3,14.06,42.18
C0453,2023-01-03,Cookbook,1,21.64,21.64
C0530,2023-01-03,Air Purifier,4,150.73,602.92
C0544,2023-01-03,Kitchen Scale,1,17.45,17.45
C0179,2023-01-04,Business Strategy Book,1,32.84,32.84
C0480,2023-01-04,Coffee Maker,1,55.05,55.05
C0038,2023-01-05,Fiction Novel,2,34.24,68.48
C0062,2023-01-05,Vacuum Cleaner,1,169.23,169.23
C0070,2023-01-05,Bluetooth Speaker,1,58.96,58.96
C0198,2023-01-05,Kitchen Scale,3,33.65,100.95
C0198,2023-01-05,Bluetooth Speaker,2,51.3,102.6
C0200,2023-01-05,Sunglasses,1,63.7,63.7
C0247,2023-01-05,Sunglasses,1,56.99,56.99
C0337,2023-01-05,Coffee Maker,1,54.29,54.29
C0342,2023-01-05,Wireless Charger,1,20.47,20.47
C0378,2023-01-05,Running Shoes,1,59.59,59.59
C0515,2023-01-05,Self-Help Guide,1,15.23,15.23
C0042,2023-01-06,Wireless Charger,1,74.45,74.45
C0325,2023-01-06,Kitchen Scale,1,19.45,19.45
C0339,2023-01-06,Self-Help Guide,1,14.0,14.0
C0389,2023-01-06,Fiction Novel,1,11.48,11.48
C0418,2023-01-06,Storage Bins,2,11.33,22.66
C0021,2023-01-07,Air Purifier,1,457.51,457.51
C0055,2023-01-07,Wireless Charger,3,39.31,117.93
C0195,2023-01-07,Screen Protector,1,12.09,12.09
C0200,2023-01-07,Self-Help Guide,1,25.9,25.9
C0252,2023-01-07,Denim Jeans,1,44.65,44.65
C0346,2023-01-07,Business Strategy Book,2,16.56,33.12
C0389,2023-01-07,Coffee Maker,2,58.63,117.26
C0425,2023-01-07,Bluetooth Speaker,1,29.0,29.0
C0109,2023-01-08,Running Shoes,2,102.51,205.02
C0136,2023-01-08,Self-Help Guide,1,24.62,24.62
C0228,2023-01-08,LED Desk Lamp,1,44.48,44.48
C0242,2023-01-08,Storage Bins,1,18.18,18.18
C0272,2023-01-08,Bluetooth Speaker,2,30.16,60.32
C0279,2023-01-08,Baseball Cap,1,18.63,18.63
C0289,2023-01-08,Business Strategy Book,1,18.01,18.01
C0376,2023-01-08,Kitchen Scale,2,18.12,36.24
C0422,2023-01-08,Denim Jeans,1,37.9,37.9
C0084,2023-01-09,LED Desk Lamp,2,49.12,98.24
C0101,2023-01-09,LED Desk Lamp,3,43.89,131.67
C0116,2023-01-09,Wireless Charger,1,33.46,33.46
C0158,2023-01-09,Power Bank,3,39.41,118.23
C0419,2023-01-09,Air Purifier,3,127.45,382.35
C0488,2023-01-09,Running Shoes,1,63.43,63.43
C0496,2023-01-09,Wireless Headphones,1,64.3,64.3
C0550,2023-01-09,Coffee Maker,1,58.24,58.24
C0045,2023-01-10,Car Phone Mount,1,63.68,63.68
C0046,2023-01-10,Wireless Headphones,3,241.45,724.35
C0051,2023-01-10,Baseball Cap,1,27.8,27.8
C0056,2023-01-10,Fiction Novel,3,18.79,56.37
C0066,2023-01-10,Cookbook,1,36.66,36.66
C0087,2023-01-10,Vacuum Cleaner,1,181.75,181.75
C0137,2023-01-10,Coffee Maker,1,94.39,94.39
C0250,2023-01-10,Running Shoes,1,100.86,100.86
C0340,2023-01-10,Coffee Maker,2,56.61,113.22
C0393,2023-01-10,Smartphone Case,1,13.19,13.19
C0473,2023-01-10,Cookbook,1,20.41,20.41
C0501,2023-01-10,Wireless Headphones,1,64.17,64.17
C0162,2023-01-11,Air Purifier,1,228.77,228.77
C0284,2023-01-11,Denim Jeans,4,40.67,162.68
C0289,2023-01-11,Wireless Headphones,3,61.53,184.59
C0294,2023-01-11,Coffee Maker,2,54.58,109.16
C0311,2023-01-11,Self-Help Guide,1,15.19,15.19
C0353,2023-01-11,Self-Help Guide,2,13.46,26.92
C0026,2023-01-12,Business Strategy Book,4,61.63,246.52
C0027,2023-01-12,Kitchen Scale,1,70.27,70.27
C0100,2023-01-12,Cookbook,1,37.17,37.17
C0110,2023-01-12,Baseball Cap,4,27.34,109.36
C0274,2023-01-12,Business Strategy Book,2,18.49,36.98
C0334,2023-01-12,Bluetooth Speaker,2,35.06,70.12
C0454,2023-01-12,Kitchen Scale,1,18.04,18.04
C0480,2023-01-12,Smartphone Case,3,12.92,38.76
C0488,2023-01-12,Self-Help Guide,2,15.02,30.04
C0496,2023-01-12,Running Shoes,1,67.69,67.69
C0021,2023-01-13,Storage Bins,4,37.74,150.96
C0043,2023-01-13,Air Purifier,2,471.09,942.18
C0148,2023-01-13,USB-C Cable,1,15.79,15.79
C0164,2023-01-13,Wireless Headphones,1,114.95,114.95
C0257,2023-01-13,Self-Help Guide,1,13.44,13.44
C0312,2023-01-13,Casual T-Shirt,1,13.28,13.28
C0320,2023-01-13,Sunglasses,4,36.41,145.64
C0391,2023-01-13,LED Desk Lamp,2,28.07,56.14
C0455,2023-01-13,Kitchen Scale,1,17.39,17.39
C0528,2023-01-13,Fiction Novel,2,9.63,19.26
C0531,2023-01-13,Vacuum Cleaner,2,106.0,212.0
C0027,2023-01-14,Vacuum Cleaner,1,346.17,346.17
C0038,2023-01-14,Running Shoes,1,205.19,205.19
C0051,2023-01-14,Screen Protector,4,12.14,48.56
C0062,2023-01-14,Coffee Maker,3,104.56,313.68
C0131,2023-01-14,Car Phone Mount,1,29.72,29.72
C0324,2023-01-14,LED Desk Lamp,1,27.92,27.92
C0387,2023-01-14,Power Bank,1,26.42,26.42
C0470,2023-01-14,Cookbook,2,19.84,39.68
C0473,2023-01-14,USB-C Cable,1,8.84,8.84
C0493,2023-01-14,Business Strategy Book,1,16.01,16.01
C0081,2023-01-15,Baseball Cap,1,27.08,27.08
C0089,2023-01-15,Smartphone Case,1,26.14,26.14
C0135,2023-01-15,Kitchen Scale,1,29.59,29.59
C0148,2023-01-15,Wireless Charger,1,36.26,36.26
C0222,2023-01-15,Business Strategy Book,1,29.65,29.65
C0258,2023-01-15,Air Purifier,1,133.77,133.77
C0300,2023-01-15,Vacuum Cleaner,2,111.76,223.52
C0307,2023-01-15,Air Purifier,2,145.23,290.46
C0467,2023-01-15,Business Strategy Book,1,16.07,16.07
C0476,2023-01-15,Self-Help Guide,1,12.86,12.86
C0517,2023-01-15,LED Desk Lamp,2,26.03,52.06
C0017,2023-01-16,Casual T-Shirt,1,45.1,45.1
C0048,2023-01-16,Smartphone Case,1,48.54,48.54
C0056,2023-01-16,Self-Help Guide,1,22.27,22.27
C0135,2023-01-16,Smartphone Case,1,25.55,25.55
C0155,2023-01-16,Fiction Novel,1,19.19,19.19
